data_code,2010,2011,2012,2013,2014,2015,2016,2017,2018
895,0,0,0,0,0,0,0,0,633
896,0,0,0,0,0,67,205,402,528
898,1,12100,20228,33280,56195,81813,107186,141366,166333
8981,0,2941,5068,9506,16759,25940,36904,56188,70035
901,0,0,0,0,0,0,800,2108,4605
902,0,0,0,0,973,2456,3532,4741,6558
903,0,0,0,0,0,0,0,45,6156
906,0,0,0,0,0,0,793,2139,4207
908,0,0,0,0,0,0,0,199,909
909,0,0,0,0,0,448,1026,1900,2876
910,2,3189,5243,0,0,0,0,0,0
911,0,0,504,1537,2917,5069,8876,14854,17936
912,0,0,0,1332,3235,6440,10983,18131,25501
913,0,1009,1383,2542,4935,8609,13684,21830,26565
914,0,0,0,0,510,1341,2784,4647,6213
915,0,0,422,1077,2741,4532,7482,11002,14354
916,0,922,1796,3063,4971,7362,11188,14819,18071
917,0,4095,5867,8040,10658,14362,19844,28824,33148
919,0,0,32,513,957,1643,2618,3113,4783
930,0,0,0,323,1082,2036,3768,5453,8056
931,2,11618,18233,27893,48389,62162,91681,120850,157814
932,0,0,73,343,1923,3416,6613,9317,12405
933,0,0,0,402,1752,2867,5443,7883,10591
934,0,0,0,572,2085,3316,6142,8749,12470
935,0,0,95,1365,3607,5563,9215,12310,15676
936,0,0,66,757,2254,3890,6614,8928,11351
937,0,0,446,1521,4338,7048,11444,15335,18104
938,0,0,571,1361,3662,6109,10176,14742,18152
939,0,0,0,199,1440,2837,4890,7344,9156
941,0,0,0,84,436,830,1287,1908,3347
943,0,0,181,680,2306,4315,6570,8883,10788
951,1,6507,9865,14387,21133,29335,49921,55203,67834
952,0,0,0,661,1676,2635,3779,5032,6369
953,0,0,0,568,1434,3214,5151,7082,10422
954,0,0,0,0,557,1302,2482,4090,6023
955,0,0,0,0,993,2222,3244,4786,5931
970,0,0,0,0,29,41,190,389,1299
971,0,2016,4572,8597,15980,18899,27887,36641,48001
972,0,0,0,23,468,1208,2290,3089,4570
973,0,0,0,0,93,373,494,578,762
974,0,0,0,0,79,214,541,1043,1175
975,0,0,0,0,64,129,214,269,429
976,0,0,0,0,80,272,459,650,895
977,0,0,0,0,232,591,1084,1510,3176
979,0,0,0,388,1581,3032,4933,6665,8033
990,0,0,64,806,1653,2548,3299,5526,6755
991,4,12798,18757,28463,41963,56018,71432,101254,143050
992,0,0,0,0,743,1387,2012,3631,3825
993,0,0,0,667,1967,2688,4167,6127,6862
994,0,0,170,704,1697,3678,6710,9352,14155
995,0,0,0,0,251,733,1276,1904,2805
996,0,0,0,844,2764,4846,9753,12051,13732
997,0,0,0,0,0,0,2052,5186,9248
998,0,0,0,0,0,0,2110,2842,6902
999,0,0,0,499,1674,2917,5192,8711,11716
AKL,0,0,0,0,0,0,0,0,669
AMS,0,0,0,0,0,0,0,0,217
BKK,0,0,0,0,0,62,165,528,3176
BRU,0,0,0,0,0,0,0,64,506
BWN,0,0,0,0,0,0,0,35,180
CDG,0,0,0,0,0,0,0,532,1831
CJJ,0,0,0,0,0,0,19,33,38
DAC,0,0,0,0,0,0,0,0,100
DFW,0,0,0,0,0,0,0,0,476
DXB,0,0,0,0,0,0,0,0,366
